Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
MG,Hector,5,71000.0,Manual,first,Diesel,1275000,MG_Hector,Recent,14200.0,11.170449240431308
Audi,A6,13,51000.0,Automatic,second,Petrol,1350000,Audi_A6,Old,3923.076923076923,10.839600519357369
Maruti Suzuki,Alto-K10,9,75000.0,Automatic,second,Petrol,310000,Maruti Suzuki_Alto-K10,Mid,8333.333333333334,11.225256725762893
Hyundai,Elite i20,6,39500.0,Manual,first,Petrol,545000,Hyundai_Elite i20,Mid,6583.333333333333,10.584081267024454
Renault,Captur,6,120000.0,Manual,first,Diesel,800000,Renault_Captur,Mid,20000.0,11.695255355062795
Toyota,Innova,8,65137.5,Manual,second,Diesel,860000,Toyota_Innova,Mid,8142.1875,11.084271051239332
Volkswagen,Passat,12,68900.0,Automatic,second,Diesel,555000,Volkswagen_Passat,Old,5741.666666666667,11.140425970684525
Mercedes-Benz,E-Class,7,68000.0,Automatic,first,Diesel,3090000,Mercedes-Benz_E-Class,Mid,9714.285714285714,11.127277689932466
Ford,Ecosport,9,80000.0,Automatic,second,Petrol,465000,Ford_Ecosport,Mid,8888.888888888889,11.289794413577894
Maruti Suzuki,Alto-K10,5,62000.0,Manual,first,Petrol,360000,Maruti Suzuki_Alto-K10,Recent,12400.0,11.034905792929415
Hyundai,Venue,2,55000.0,Manual,first,Diesel,1250000,Hyundai_Venue,New,27500.0,10.915106645867503
Volkswagen,Polo,9,60000.0,Manual,second,Petrol,460000,Volkswagen_Polo,Mid,6666.666666666667,11.002116507732017
Toyota,Innova Crysta,7,34000.0,Manual,first,Diesel,1395000,Toyota_Innova Crysta,Mid,4857.142857142857,10.434145214930487
Jeep,Compass,7,49000.0,Automatic,first,Petrol,1151111,Jeep_Compass,Mid,7000.0,10.799595985047786
Hyundai,i20,8,36000.0,Manual,second,Petrol,450000,Hyundai_i20,Mid,4500.0,10.491301994830229
Mahindra,KUV 100,8,85000.0,Manual,second,Diesel,320000,Mahindra_KUV 100,Mid,10625.0,11.350418300109132
Mahindra,Bolero Neo,1,35000.0,Automatic,second,Diesel,1050000,Mahindra_Bolero Neo,New,35000.0,10.463131911491967
Honda,Amaze,9,160000.0,Manual,second,Diesel,275000,Honda_Amaze,Mid,17777.777777777777,11.982935344196433
Maruti Suzuki,Swift,14,141000.0,Manual,second,Diesel,330000,Maruti Suzuki_Swift,Old,10071.42857142857,11.856522261533737
